scorer,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100
bodyparts,green_hand,green_hand,green_hand,orange_hand,orange_hand,orange_hand
coords,x,y,likelihood,x,y,likelihood
0,506.0143737792969,138.51101684570312,0.35571742057800293,504.5616149902344,156.135986328125,0.4372484087944031
1,506.12567138671875,138.3284454345703,0.3553007245063782,505.0257873535156,156.38534545898438,0.43268221616744995
2,506.0418395996094,138.25576782226562,0.334170937538147,505.45477294921875,156.44247436523438,0.42196834087371826
3,506.05535888671875,138.279296875,0.3285347521305084,504.02301025390625,155.55911254882812,0.4283186197280884
4,505.882080078125,138.343017578125,0.3304236829280853,505.0852966308594,142.0830841064453,0.4308183491230011
5,493.620361328125,141.26217651367188,0.33097466826438904,502.3572998046875,155.07656860351562,0.43789640069007874
6,502.5928039550781,129.03912353515625,0.332965612411499,502.2923583984375,154.77557373046875,0.4412779211997986
7,505.35235595703125,138.21669006347656,0.3474290072917938,504.4100341796875,142.92845153808594,0.4446762800216675
8,505.362060546875,137.94139099121094,0.3451055884361267,501.8887939453125,155.27401733398438,0.44220951199531555
9,502.60833740234375,129.2593994140625,0.3466615676879883,504.22308349609375,154.64166259765625,0.4287431240081787
10,502.4131164550781,118.55292510986328,0.34611237049102783,505.8927307128906,155.4419403076172,0.42853495478630066
11,502.3970642089844,118.11957550048828,0.3360850214958191,506.4419250488281,155.84689331054688,0.4204769432544708
12,502.4241638183594,117.82787322998047,0.33927208185195923,506.3375549316406,156.06732177734375,0.4237140417098999
13,502.6104431152344,118.04975891113281,0.33949342370033264,506.00616455078125,155.84286499023438,0.42153841257095337
14,502.649169921875,118.60775756835938,0.3427048325538635,504.72308349609375,155.4252471923828,0.42985719442367554
15,502.18048095703125,118.82292175292969,0.34096407890319824,504.0520935058594,155.3136444091797,0.4335978925228119
